director,first_actor,second_actor,third_actor,genres,movie_title,soup,overview
Zack Snyder,Ben Affleck,Henry Cavill,Gal Gadot,Action Adventure Fantasy Sci-Fi,justice league,benaffleck henrycavill galgadot zacksnyder Action Adventure Fantasy Sci-Fi,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne and Diana Prince assemble a team of metahumans consisting of Barry Allen, Arthur Curry, and Victor Stone to face the catastrophic threat of Steppenwolf and the Parademons who are on the hunt for three Mother Boxes on Earth."
Taika Waititi,Chris Hemsworth,Tom Hiddleston,Cate Blanchett,Action Adventure Fantasy Sci-Fi,thor: ragnarok,chrishemsworth tomhiddleston cateblanchett taikawaititi Action Adventure Fantasy Sci-Fi,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his homeworld and the end of Asgardian civilization, at the hands of an all-powerful new threat, the ruthless Hela."
James Gunn,Chris Pratt,Zoe Saldana,Dave Bautista,Action Adventure Comedy Sci-Fi,guardians of the galaxy vol. 2,chrispratt zoesaldana davebautista jamesgunn Action Adventure Comedy Sci-Fi,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.
Sean McNamara,Pierce Brosnan,William Hurt,Benjamin Walker,Fantasy Action Adventure,the king's daughter,piercebrosnan williamhurt benjaminwalker seanmcnamara Fantasy Action Adventure,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature."
Adam Spinks,Ben Loyd-Holmes,Sarah Mac,Neil Newbon,Thriller Adventure,extinction: nature has evolved,benloyd-holmes sarahmac neilnewbon adamspinks Thriller Adventure,"The amazing footage you will see in this documentary was recorded during an expedition to the Amazon in South America. It has been assembled as per the camera time codes. It has not been altered or tampered with in any way and after extensive testing has been considered absolutely genuine. What you will see will change the way you view the natural world. Are you ready for that? For in the heart of the rainforest, a team of researchers led by the respected Professor John Howson strived to protect endangered and vulnerable species from extinction. But their guides abandoned them after a series of strange and unexplainable events and the team soon got hopelessly lost in the jungle. When events took a horrifying turn, the team realized that they were in the hunting grounds of an apex predator. And now they were the ones on the endangered species list."
Rucha Humnabadkar,Ali Fazal,Melanie Chandra,Omi Vaidya,Drama Comedy,for here or to go?,alifazal melaniechandra omivaidya ruchahumnabadkar Drama Comedy,An aspiring Indian tech entrepreneur in the Silicon Valley finds himself unexpectedly battling the bizarre American immigration system to keep his dream alive or prepare to return home forever.
Sarik Andreasyan,Anton Pampushnyy,Sanzhar Madiyev,Sebastien Sisak,Action Fantasy Sci-Fi,guardians,antonpampushnyy sanzharmadiyev sebastiensisak sarikandreasyan Action Fantasy Sci-Fi,"During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple soviet republics. For years, the heroes had to hide their identities, but in hard times they must show themselves again."
Peter Hutchings,Victoria Justice,Eden Sher,Ashley Rickards,Comedy,the outcasts,victoriajustice edensher ashleyrickards peterhutchings Comedy,"After falling victim to a humiliating prank by the high school Queen Bee, best friends and world-class geeks, Mindy and Jodi, decide to get their revenge by uniting the outcasts of the school against her and her circle of friends."
Patty Jenkins,Gal Gadot,Chris Pine,Robin Wright,Action Adventure Fantasy,wonder woman,galgadot chrispine robinwright pattyjenkins Action Adventure Fantasy,"On the mystical island of Themyscira, a proud and fierce warrior race of Amazons have raised a daughter of untold beauty, grace and strength: Princess Diana. When an Army fighter pilot, Steve Trevor, crash-lands on the island, the rebellious and headstrong Diana defies Amazonian law by accompanying Trevor back to civilization."
Kevin Munroe,Chris Murphy,Ian James Corlett,Matt Olsen,Animation Adventure Comedy Action Family,sly cooper,chrismurphy ianjamescorlett mattolsen kevinmunroe Animation Adventure Comedy Action Family,"Sly Cooper is a kinetic and comedic heist film that tells the story of Sly Cooper, an orphaned raccoon thief, along with his childhood friends and partners in crime, Bentley Turtle and Murray Hippo. In the film, Sly learns of his birth family's secret legacy; that he comes from a long line of talented and international thieves. Endowed with this knowledge, Sly and his friends are catapulted into a global adventure as they race to reassemble pieces of an ancient book holding The Cooper Clan's family secrets before it can fall into the hands of Clockwerk -- an evil Russian metallic owl bent on ending the Cooper family line. From romantic Parisian backdrops to the lush mountains of China, gritty film noir meets bright, colorful graphic novels in this origin story of the world's greatest thief-turned-hero."
James Ponsoldt,Emma Watson,Tom Hanks,John Boyega,Drama Thriller Sci-Fi,the circle,emmawatson tomhanks johnboyega jamesponsoldt Drama Thriller Sci-Fi,Various women struggle to function in the oppressively sexist society of contemporary Iran.
Trish Sie,Anna Kendrick,Rebel Wilson,Brittany Snow,Comedy,pitch perfect 3,annakendrick rebelwilson brittanysnow trishsie Comedy,Sequel to Pitch Perfect 2
Sean Byrne,Ethan Embry,Shiri Appleby,Kiara Glasco,Horror,the devil's candy,ethanembry shiriappleby kiaraglasco seanbyrne Horror,"A struggling painter is possessed by satanic forces after he and his young family move into their dream home in rural Texas, in this creepy haunted-house tale."
Roberto Doveris,Violeta Castillo,Ingrid Isensee,Mauricio Vaca,Drama,las plantas,violetacastillo ingridisensee mauriciovaca robertodoveris Drama,"For a whole  summer, 17-year-old Florencia has to look after her brother, who is  trapped in a persistent vegetative state. She washes him, changes his  nappies, and cuddles up to him in bed. From time to time she reads  to him from a comic called LAS  PLANTAS,  which is about plant souls  that take control of human bodies at full moon. At night, Florencia  makes contact with men on the internet. Images of her monotonous  daily routine and a vibrant fantasy world merge to create a fascina-  ting tale of a young woman as she self-determines her own sexual  awakening. Dreamlike sequences and atmospheric, metallic music  create the mood of a thriller."
Lloyd Kaufman,Asta Paredes,Catherine Corcoran,Zac Amino,Comedy Horror,"return to return to nuke 'em high, aka volume 2",astaparedes catherinecorcoran zacamino lloydkaufman Comedy Horror,"Following the events of Volume 1,  the mutated glee club continue their violent rampage in Tromaville. Chrissy and Lauren, two innocent lesbian lovers, must fight not only the Cretins, mutants, and monsters but also the evil Tromorganic Foodstuffs Conglomerate. Can they, and Kevin the Wonder Duck, save Tromaville High School and the world?"
David Jackson,Amanda Leighton,Samantha Boscarino,Hannah Kasulka,TV Movie Thriller,the cheerleader murders,amandaleighton samanthaboscarino hannahkasulka davidjackson TV Movie Thriller,"A high school student whose father and sister were recently murdered begins her own investigation after two of her fellow cheerleaders are kidnapped. She sets out on a rescue mission, but the killer may already be hot on her trail."
Demetri Martin,Demetri Martin,Gillian Jacobs,Christine Woods,Comedy,dean,demetrimartin gillianjacobs christinewoods demetrimartin Comedy,A freelance illustrator in New York suffers a quarter-life crisis and leaves his home for the west coast.
Alexandre Bustillo Julien Maury,Stephen Dorff,Lili Taylor,Sam Strike,Horror,leatherface,stephendorff lilitaylor samstrike alexandrebustillojulienmaury Horror,"A young nurse is kidnapped by a group of violent teens who escape from a mental hospital and take her on the road trip from hell. Pursued by an equally deranged lawman out for revenge, one of these teens is destined for tragedy and horrors that will destroy his mind, molding him into the monster we now call Leatherface."
Johannes Roberts,Claire Holt,Mandy Moore,Chris Johnson,Drama Thriller Horror Adventure,47 meters down,claireholt mandymoore chrisjohnson johannesroberts Drama Thriller Horror Adventure,"Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface."
Gabe Klinger,Lucie Lucas,Anton Yelchin,Paulo Calatré,Romance Drama,porto,lucielucas antonyelchin paulocalatré gabeklinger Romance Drama,"Jake and Mati are two outsiders in the northerly Portuguese city of Porto who once experienced a brief connection. A mystery remains about the moments they shared, and in searching through memories, they relive the depths of a night uninhibited by the consequences of time."
Aaron Leong,Sean O'Donnell,Alexandria DeBerry,Gary Busey,Comedy Drama Family Fantasy Romance Sci-Fi,mamaboy,seano'donnell alexandriadeberry garybusey aaronleong Comedy Drama Family Fantasy Romance Sci-Fi,"A high school student must hide the fact that he has become pregnant from his family, friends and the school faculty!"
Terry George,Oscar Isaac,Charlotte Le Bon,Christian Bale,History Romance Drama,the promise,oscarisaac charlottelebon christianbale terrygeorge History Romance Drama,"East-Berlin, 1961, shortly after the erection of the Wall. Konrad, Sophie and three of their friends plan a daring escape to Western Germany. The attempt is successful, except for Konrad, who remains behind. From then on, and for the next 28 years, Konrad and Sophie will attempt to meet again, in spite of the Iron Curtain. Konrad, who has become a reputed Astrophysicist, tries to take advantage of scientific congresses outside Eastern Germany to arrange encounters with Sophie. But in a country where the political police, the Stasi, monitors the moves of all suspicious people (such as Konrad's sister Barbara and her husband Harald), preserving one's privacy, ideals and self-respect becomes an exhausting fight, even as the Eastern block begins its long process of disintegration."
